Timestamp,EventType,Message
2026-02-08T17:11:07.0267107+05:30,TOUCHLINE,NIFTY | Price: 22505 | Time: 5:11:07 PM
2026-02-08T17:11:07.0292495+05:30,MARKET_DEPTH,Depth snapshot #1
2026-02-08T17:11:08.0456452+05:30,TOUCHLINE,NIFTY | Price: 22510 | Time: 5:11:08 PM
2026-02-08T17:11:08.0469228+05:30,MARKET_DEPTH,Depth snapshot #2
2026-02-08T17:11:09.0611620+05:30,TOUCHLINE,NIFTY | Price: 22515 | Time: 5:11:09 PM
2026-02-08T17:11:09.0641860+05:30,MARKET_DEPTH,Depth snapshot #3
2026-02-08T17:11:10.0755059+05:30,TOUCHLINE,NIFTY | Price: 22520 | Time: 5:11:10 PM
2026-02-08T17:11:10.0767032+05:30,MARKET_DEPTH,Depth snapshot #4
2026-02-08T17:11:11.0899129+05:30,TOUCHLINE,NIFTY | Price: 22525 | Time: 5:11:11 PM
2026-02-08T17:11:11.1036049+05:30,MARKET_DEPTH,Depth snapshot #5
2026-02-08T17:11:12.1152609+05:30,TOUCHLINE,NIFTY | Price: 22530 | Time: 5:11:12 PM
2026-02-08T17:11:12.1168700+05:30,MARKET_DEPTH,Depth snapshot #6
2026-02-08T17:11:13.1234926+05:30,TOUCHLINE,NIFTY | Price: 22535 | Time: 5:11:13 PM
2026-02-08T17:11:13.1265766+05:30,MARKET_DEPTH,Depth snapshot #7
